является            	1
это                 	1
чтобы               	2
что                 	2
чтения.             	1
чтения,             	1
чтения              	1
хотя                	1
функцией            	1
формата             	1
файлу               	1
файлов,             	1
файлах.             	1
файлам:             	1
файла.              	1
файла               	2
файл,               	1
файл                	1
указателя           	1
указанные           	1
точно               	1
только              	1
того,               	1
текстовых           	2
текстовым.          	1
текстовом           	1
текстового          	1
так                 	1
строки,             	1
среды,              	1
специфического      	1
спецификаторы       	1
спецификаторов      	1
специальные         	1
со                  	1
смешанных           	1
смешанными          	1
случае              	2
служебных           	1
следующие           	1
следует             	3
системе,            	1
системах,           	1
символы,            	1
символы             	1
символов            	1
символ              	3
себя                	1
рекомендуется       	1
режимы              	1
режимов             	1
режиме.             	1
режиме              	1
режимами:           	1
режима              	1
режим               	1
разрешены           	1
работу              	1
работает            	1
программы.          	1
приложение,         	1
прилагается,        	1
преобразования      	1
поток               	1
последовательности  	1
после               	2
попадают            	1
показать,           	1
позицию             	1
переносимости.      	1
открыть             	1
открытия            	2
от                  	1
операциях           	1
операция            	2
операции            	3
они                 	1
обнулить            	1
но                  	1
никак               	1
ни                  	2
некоторые           	1
не                  	2
находиться          	1
например,           	1
наоборот,           	1
на                  	1
может               	2
могут               	3
многих              	1
между               	1
лучшей              	1
которые             	1
которой             	3
конец               	1
когда               	1
к                   	3
используются        	1
иногда              	1
имеет               	1
или                 	2
изменить            	1
из-за               	1
и,                  	1
и                   	2
значения            	1
знаком              	1
знак                	1
записи,             	1
записи              	2
зависимости         	1
за                  	2
же,                 	1
доступа.            	1
доступа             	3
дополнительный      	1
дополнительные      	1
должен              	1
добавления),        	1
добавлен            	1
для                 	3
двоичный            	1
двоичном            	1
даёт                	1
вставлен            	1
внутреннего         	1
влияют              	1
включен             	1
включают            	1
ввода/вывода        	1
в                   	10
быть                	4
буквой              	1
бинарным            	1
адаптированы        	1
адаптация           	1
Этот                	1
Оба                 	1
Например,           	1
Для                 	2
Выше                	1
Во                  	1
В                   	2
«+»),               	1
‘t‘                 	1
wb,                 	1
wb+,                	1
w+b,                	1
rewind)             	1
rb,                 	1
rb+,                	1
r+b,                	1
fsetpos,            	1
fflush              	1
b                   	2
ab,                 	1
ab+.                	1
a+b                 	1
UNIX-системах,      	1
+,                  	1
(те,                	1
(или                	1
(fseek              	1
